sample_id,user_post,golden_response,model_response,token_num,loss,ppl
0,"hi i am okay, a little bit sad though",okay. i am very sorry to hear that! do you want to tell me more about that?,what's going on? can you tell me what'sgoing'is?,21,1.5275023324148995,4.606656544649443
0,well with the holidays coming up i have been very stressed and nervous about what i am going to do,i really feel you there. holidays are so hard.. especially with the way this year has been. anything specific?,is there anything specific that you would like to talk about?,25,2.641142578,14.02922393813366
0,i have no choice but to go live at home over the break but i am very scared about it,do you feel scared for your own self? or of the situation in general? i'm sorry to hear that. relationships with parents can be very difficult sometimes.,i can totally understand that. i have had friends who have gone through that same situation. i know how anxious you are.,34,2.377242593204274,10.775150390035344
0,do you feel scared for your own self? or of the situation in general? i'm sorry to hear that. relationships with parents can be very difficult sometimes.,i'm around college age as well and also live at home. so i can understand your struggle.,it's a tough situation but i think you're doing the right thing. you can do it.,22,2.211182334206321,9.12650059
0,and i have no car to escape it,"it's like we live the same life. i also have no car to escape! it seems so small, but it's such a huge stressor when you feel trapped in an environment you're not positive in. i feel your pain and i empathize with you completely.",that is a very difficult situation. have you considered getting a second opinion from a professional?,40,2.4913990020751955,12.078161679478747
0,"it's like we live the same life. i also have no car to escape! it seems so small, but it's such a huge stressor when you feel trapped in an environment you're not positive in. i feel your pain and i empathize with you completely.",it'll be hard but i hope you can make it through it throughout the holidays and enjoy yourself some. are there any pros to going back home? any pets?,have you tried speaking to your parents about this?,36,3.051782396104601,21.15301389117094
0,not many to be honest. i have a hamster but he is at school with me so nothing at home to go back to,"it sounds like covid- 19 is going to be a personal stressor for you. it's such a strange thing to have to live with already, the pandemic, and i'm sorry that it might end up pushing you where you don't want to be.","i understand that. i have a dog and a cat, but i do not have any pets. i am sure you will be fine!",40,2.684566116333008,14.651842805636917
0,"it sounds like covid- 19 is going to be a personal stressor for you. it's such a strange thing to have to live with already, the pandemic, and i'm sorry that it might end up pushing you where you don't want to be.",could you bring your hamster home with you? even the smallest things could help a place feel more loving,"i think that you should try to take a few deep breaths before you go into any of this, and then you will be okay.",22,3.3528941761363638,28.585345063635668
0,yes i am bringing him home with me so that is my little piece of joy that is coming along,i don't think you're selfish at all. you have feelings you are entitled to have and are expressing them which is healthy and i encourage that behavior!,i'm glad that you are making the best of it! i hope that you have a great time and i wish you all the best in the future!,34,2.5558296652401196,12.88198295861212
0,i don't think you're selfish at all. you have feelings you are entitled to have and are expressing them which is healthy and i encourage that behavior!,"good! i know how hard this situation can be. very nerve wracking. the smallest things, even a hamster, can be so beneficial.",i am happy for you. i hope you feel better soon.,31,2.612031505953881,13.626705485368966
0,well thank you that does help me to feel better. yes i am happy to bring him home with me and hoping i can have my niece over to intro duce her to him,you sound like a very determined person in making this trip as stress free as possible. i commend you for that! maybe you could have your niece over often to play with your hamster just to soften the stress of being there,that is a great idea. maybe your niece can go to him with you?,40,2.8266372680664062,16.88857348434129
0,it is surely my goal! i appreciate your kind words. i would love that if i had a car i could do that but i am not sure how much she will be able to come to my house. i am going to try though!,is uber an option for you? i know there's a lot of rideshare services but they're not always financially reasonable. but that could be a way to get away if you ever need too!,you are very welcome! i hope you have a wonderful trip and i wish you the best of luck with everything!,40,2.5618385314941405,12.959622099297066
